sample_id,pattern,arrival_pattern,count,disk_size,initial_head,direction,spread,density,clustering,direction_bias,fcfs_dist,sstf_dist,scan_dist,cscan_dist,fcfs_var,sstf_var,scan_var,cscan_var,best_algorithm
316,sequential,all_at_once,50,300,186,UP,0.1368,1.0,0.1143,0.9837,63,63,261,597,7001.88,7117.11,9208.79,13523.78,FCFS
317,sequential,all_at_once,48,300,17,UP,0.1313,1.0,0.2183,0.9404,184,184,184,184,6207.25,6207.25,6207.25,6207.25,FCFS
318,sequential,continuous,33,250,98,UP,0.1077,1.0,0.1414,0.975,57,57,327,497,1273.74,2613.75,6009.0,5712.45,FCFS
319,sequential,all_at_once,38,250,95,DOWN,0.1243,1.0,0.1315,0.9784,62,62,202,498,4029.3,4188.74,5420.03,8591.37,FCFS
320,sequential,random,18,400,187,DOWN,0.0359,1.0,0.194,0.9529,81,81,455,734,51.57,51.57,51.57,2740.76,FCFS
321,sequential,sequential,27,200,29,UP,0.1093,1.0,0.1109,0.9846,142,116,116,116,38.61,3358.33,3358.33,3358.33,FCFS
322,sequential,random,43,300,287,UP,0.1174,1.0,0.0,1.0,157,115,139,525,171.66,7450.74,7747.21,171.66,FCFS
323,sequential,bursty,38,200,156,DOWN,0.1553,1.0,0.1315,0.9784,71,71,315,398,129.5,4975.4,4709.87,4702.48,FCFS
324,sequential,sequential,17,200,18,DOWN,0.0681,1.0,0.1414,0.975,155,139,175,275,13.87,1637.69,1807.44,13.87,FCFS
325,sequential,all_at_once,38,150,81,DOWN,0.2075,1.0,0.0,1.0,62,62,174,298,4073.16,4255.39,5241.44,6492.33,FCFS
326,sequential,sequential,44,250,228,DOWN,0.1468,1.0,0.133,0.9814,186,142,142,142,94.93,8186.22,8186.22,8186.22,FCFS
327,sequential,all_at_once,50,200,92,UP,0.2055,1.0,0.14,0.9755,59,88,224,397,6843.46,7150.35,8252.12,9848.11,FCFS
328,sequential,random,18,200,126,UP,0.072,1.0,0.0,1.0,26,26,26,26,33.54,33.54,33.54,33.54,FCFS
